uid treatment rep update task count partner
Mutualists_100 Mutualists 100 50000 NOT 950989 Host
Mutualists_100 Mutualists 100 50000 NOT 79067 Symbiont
Mutualists_100 Mutualists 100 50000 NAND 3304 Host
Mutualists_100 Mutualists 100 50000 NAND 5 Symbiont
Mutualists_100 Mutualists 100 50000 AND 0 Host
Mutualists_100 Mutualists 100 50000 AND 0 Symbiont
Mutualists_100 Mutualists 100 50000 ORN 844 Host
Mutualists_100 Mutualists 100 50000 ORN 0 Symbiont
Mutualists_100 Mutualists 100 50000 OR 7 Host
Mutualists_100 Mutualists 100 50000 OR 0 Symbiont
Mutualists_100 Mutualists 100 50000 ANDN 0 Host
Mutualists_100 Mutualists 100 50000 ANDN 0 Symbiont
Mutualists_100 Mutualists 100 50000 NOR 0 Host
Mutualists_100 Mutualists 100 50000 NOR 0 Symbiont
Mutualists_100 Mutualists 100 50000 XOR 0 Host
Mutualists_100 Mutualists 100 50000 XOR 0 Symbiont
Mutualists_100 Mutualists 100 50000 EQU 0 Host
Mutualists_100 Mutualists 100 50000 EQU 0 Symbiont
Mutualists_101 Mutualists 101 50000 NOT 899878 Host
Mutualists_101 Mutualists 101 50000 NOT 75476 Symbiont
Mutualists_101 Mutualists 101 50000 NAND 31 Host
Mutualists_101 Mutualists 101 50000 NAND 2 Symbiont
Mutualists_101 Mutualists 101 50000 AND 0 Host
Mutualists_101 Mutualists 101 50000 AND 0 Symbiont
Mutualists_101 Mutualists 101 50000 ORN 14 Host
Mutualists_101 Mutualists 101 50000 ORN 0 Symbiont
Mutualists_101 Mutualists 101 50000 OR 16 Host
Mutualists_101 Mutualists 101 50000 OR 0 Symbiont
Mutualists_101 Mutualists 101 50000 ANDN 0 Host
Mutualists_101 Mutualists 101 50000 ANDN 0 Symbiont
Mutualists_101 Mutualists 101 50000 NOR 0 Host
Mutualists_101 Mutualists 101 50000 NOR 0 Symbiont
Mutualists_101 Mutualists 101 50000 XOR 0 Host
Mutualists_101 Mutualists 101 50000 XOR 0 Symbiont
Mutualists_101 Mutualists 101 50000 EQU 0 Host
Mutualists_101 Mutualists 101 50000 EQU 0 Symbiont
Mutualists_102 Mutualists 102 50000 NOT 933857 Host
Mutualists_102 Mutualists 102 50000 NOT 78469 Symbiont
Mutualists_102 Mutualists 102 50000 NAND 33 Host
Mutualists_102 Mutualists 102 50000 NAND 7 Symbiont
Mutualists_102 Mutualists 102 50000 AND 0 Host
Mutualists_102 Mutualists 102 50000 AND 0 Symbiont
Mutualists_102 Mutualists 102 50000 ORN 9 Host
Mutualists_102 Mutualists 102 50000 ORN 0 Symbiont
Mutualists_102 Mutualists 102 50000 OR 3 Host
Mutualists_102 Mutualists 102 50000 OR 0 Symbiont
Mutualists_102 Mutualists 102 50000 ANDN 0 Host
Mutualists_102 Mutualists 102 50000 ANDN 0 Symbiont
Mutualists_102 Mutualists 102 50000 NOR 0 Host
Mutualists_102 Mutualists 102 50000 NOR 0 Symbiont
Mutualists_102 Mutualists 102 50000 XOR 0 Host
Mutualists_102 Mutualists 102 50000 XOR 0 Symbiont
Mutualists_102 Mutualists 102 50000 EQU 0 Host
Mutualists_102 Mutualists 102 50000 EQU 0 Symbiont
Mutualists_103 Mutualists 103 50000 NOT 925868 Host
Mutualists_103 Mutualists 103 50000 NOT 78024 Symbiont
Mutualists_103 Mutualists 103 50000 NAND 28 Host
Mutualists_103 Mutualists 103 50000 NAND 1 Symbiont
Mutualists_103 Mutualists 103 50000 AND 6 Host
Mutualists_103 Mutualists 103 50000 AND 0 Symbiont
Mutualists_103 Mutualists 103 50000 ORN 5 Host
Mutualists_103 Mutualists 103 50000 ORN 0 Symbiont
Mutualists_103 Mutualists 103 50000 OR 2 Host
Mutualists_103 Mutualists 103 50000 OR 0 Symbiont
Mutualists_103 Mutualists 103 50000 ANDN 0 Host
Mutualists_103 Mutualists 103 50000 ANDN 0 Symbiont
Mutualists_103 Mutualists 103 50000 NOR 0 Host
Mutualists_103 Mutualists 103 50000 NOR 0 Symbiont
Mutualists_103 Mutualists 103 50000 XOR 0 Host
Mutualists_103 Mutualists 103 50000 XOR 0 Symbiont
Mutualists_103 Mutualists 103 50000 EQU 0 Host
Mutualists_103 Mutualists 103 50000 EQU 0 Symbiont
Mutualists_104 Mutualists 104 50000 NOT 1.02229e+06 Host
Mutualists_104 Mutualists 104 50000 NOT 67933 Symbiont
Mutualists_104 Mutualists 104 50000 NAND 3104 Host
Mutualists_104 Mutualists 104 50000 NAND 1 Symbiont
Mutualists_104 Mutualists 104 50000 AND 24 Host
Mutualists_104 Mutualists 104 50000 AND 0 Symbiont
Mutualists_104 Mutualists 104 50000 ORN 123 Host
Mutualists_104 Mutualists 104 50000 ORN 1 Symbiont
Mutualists_104 Mutualists 104 50000 OR 5 Host
Mutualists_104 Mutualists 104 50000 OR 0 Symbiont
Mutualists_104 Mutualists 104 50000 ANDN 1 Host
Mutualists_104 Mutualists 104 50000 ANDN 0 Symbiont
Mutualists_104 Mutualists 104 50000 NOR 0 Host
Mutualists_104 Mutualists 104 50000 NOR 0 Symbiont
Mutualists_104 Mutualists 104 50000 XOR 0 Host
Mutualists_104 Mutualists 104 50000 XOR 0 Symbiont
Mutualists_104 Mutualists 104 50000 EQU 0 Host
Mutualists_104 Mutualists 104 50000 EQU 0 Symbiont
Mutualists_105 Mutualists 105 50000 NOT 912020 Host
Mutualists_105 Mutualists 105 50000 NOT 42037 Symbiont
Mutualists_105 Mutualists 105 50000 NAND 2958 Host
Mutualists_105 Mutualists 105 50000 NAND 209 Symbiont
Mutualists_105 Mutualists 105 50000 AND 9 Host
Mutualists_105 Mutualists 105 50000 AND 0 Symbiont
Mutualists_105 Mutualists 105 50000 ORN 888 Host
Mutualists_105 Mutualists 105 50000 ORN 0 Symbiont
Mutualists_105 Mutualists 105 50000 OR 3 Host
Mutualists_105 Mutualists 105 50000 OR 1 Symbiont
Mutualists_105 Mutualists 105 50000 ANDN 0 Host
Mutualists_105 Mutualists 105 50000 ANDN 0 Symbiont
Mutualists_105 Mutualists 105 50000 NOR 0 Host
Mutualists_105 Mutualists 105 50000 NOR 0 Symbiont
Mutualists_105 Mutualists 105 50000 XOR 0 Host
Mutualists_105 Mutualists 105 50000 XOR 0 Symbiont
Mutualists_105 Mutualists 105 50000 EQU 0 Host
Mutualists_105 Mutualists 105 50000 EQU 0 Symbiont
Mutualists_106 Mutualists 106 50000 NOT 932668 Host
Mutualists_106 Mutualists 106 50000 NOT 78866 Symbiont
Mutualists_106 Mutualists 106 50000 NAND 21 Host
Mutualists_106 Mutualists 106 50000 NAND 1 Symbiont
Mutualists_106 Mutualists 106 50000 AND 0 Host
Mutualists_106 Mutualists 106 50000 AND 0 Symbiont
Mutualists_106 Mutualists 106 50000 ORN 17 Host
Mutualists_106 Mutualists 106 50000 ORN 0 Symbiont
Mutualists_106 Mutualists 106 50000 OR 10 Host
Mutualists_106 Mutualists 106 50000 OR 0 Symbiont
Mutualists_106 Mutualists 106 50000 ANDN 0 Host
Mutualists_106 Mutualists 106 50000 ANDN 0 Symbiont
Mutualists_106 Mutualists 106 50000 NOR 0 Host
Mutualists_106 Mutualists 106 50000 NOR 0 Symbiont
Mutualists_106 Mutualists 106 50000 XOR 0 Host
Mutualists_106 Mutualists 106 50000 XOR 0 Symbiont
Mutualists_106 Mutualists 106 50000 EQU 0 Host
Mutualists_106 Mutualists 106 50000 EQU 0 Symbiont
Mutualists_107 Mutualists 107 50000 NOT 932754 Host
Mutualists_107 Mutualists 107 50000 NOT 78413 Symbiont
Mutualists_107 Mutualists 107 50000 NAND 15 Host
Mutualists_107 Mutualists 107 50000 NAND 3 Symbiont
Mutualists_107 Mutualists 107 50000 AND 1 Host
Mutualists_107 Mutualists 107 50000 AND 0 Symbiont
Mutualists_107 Mutualists 107 50000 ORN 5 Host
Mutualists_107 Mutualists 107 50000 ORN 1 Symbiont
Mutualists_107 Mutualists 107 50000 OR 6 Host
Mutualists_107 Mutualists 107 50000 OR 0 Symbiont
Mutualists_107 Mutualists 107 50000 ANDN 1 Host
Mutualists_107 Mutualists 107 50000 ANDN 0 Symbiont
Mutualists_107 Mutualists 107 50000 NOR 0 Host
Mutualists_107 Mutualists 107 50000 NOR 0 Symbiont
Mutualists_107 Mutualists 107 50000 XOR 0 Host
Mutualists_107 Mutualists 107 50000 XOR 0 Symbiont
Mutualists_107 Mutualists 107 50000 EQU 0 Host
Mutualists_107 Mutualists 107 50000 EQU 0 Symbiont
Mutualists_108 Mutualists 108 50000 NOT 1.02735e+06 Host
Mutualists_108 Mutualists 108 50000 NOT 69987 Symbiont
Mutualists_108 Mutualists 108 50000 NAND 3199 Host
Mutualists_108 Mutualists 108 50000 NAND 1 Symbiont
Mutualists_108 Mutualists 108 50000 AND 6 Host
